226.503	3.506E-06
230.722	3.494E-06
234.912	3.482E-06
239.075	3.470E-06
243.211	3.457E-06
247.318	3.445E-06
251.397	3.434E-06
255.448	3.422E-06
259.472	3.410E-06
263.467	3.399E-06
267.435	3.388E-06
269.658	3.376E-06
269.200	3.365E-06
266.500	3.354E-06
264.500	3.343E-06
259.800	3.333E-06
257.100	3.322E-06
253.042	3.311E-06
250.342	3.301E-06
245.300	3.291E-06
240.600	3.280E-06
235.500	3.270E-06
232.400	3.260E-06
229.600	3.250E-06
227.600	3.241E-06
226.500	3.231E-06
224.800	3.221E-06
223.700	3.212E-06
222.900	3.202E-06
221.100	3.193E-06
220.300	3.184E-06
219.000	3.175E-06
217.600	3.166E-06
217.000	3.157E-06
217.000	3.148E-06
217.000	3.140E-06
217.000	3.131E-06
217.000	3.689E-06
217.000	6.963E-06
217.000	1.307E-05
217.000	2.441E-05
217.000	4.533E-05
222.914	8.369E-05
230.713	1.537E-04
238.438	2.807E-04
246.094	5.097E-04
253.677	9.205E-04
261.189	1.653E-03
268.631	2.953E-03
276.001	5.244E-03
283.300	7.015E-03
288.000	7.750E-03
