7.3892E-05	5.140E-07
9.2551E-05	6.761E-07
1.1575E-04	7.943E-07
1.4455E-04	9.528E-07
1.8024E-04	1.091E-06
2.2442E-04	1.205E-06
2.7900E-04	1.409E-06
3.4636E-04	1.567E-06
4.2933E-04	1.858E-06
5.3138E-04	2.158E-06
6.5672E-04	2.541E-06
8.1042E-04	3.162E-06
9.9860E-04	3.793E-06
1.2287E-03	4.853E-06
1.5095E-03	5.483E-06
1.8517E-03	6.124E-06
2.2681E-03	6.668E-06
2.7741E-03	7.194E-06
3.3879E-03	7.638E-06
4.1314E-03	8.017E-06
5.0306E-03	8.017E-06
6.1164E-03	7.816E-06
7.4255E-03	7.482E-06
9.0013E-03	7.063E-06
1.0895E-02	6.839E-06
1.3169E-02	6.427E-06
1.5892E-02	6.124E-06
1.9151E-02	5.970E-06
2.3043E-02	5.346E-06
2.7686E-02	4.732E-06
3.3214E-02	4.188E-06
3.9787E-02	3.565E-06
4.7590E-02	3.006E-06
5.6838E-02	2.512E-06
6.7784E-02	1.862E-06
8.0717E-02	1.368E-06
9.5974E-02	1.000E-06
1.1395E-01	7.889E-07
1.3508E-01	5.188E-07
1.5990E-01	4.064E-07
1.8900E-01	3.062E-07
2.2307E-01	2.254E-07
2.6288E-01	1.486E-07
3.0934E-01	8.035E-08
3.6346E-01	6.310E-08
4.2643E-01	4.246E-08
4.9956E-01	3.954E-08
5.8435E-01	3.532E-08
6.8253E-01	3.258E-08
7.9602E-01	3.162E-08
9.2701E-01	3.105E-08
1.0000E+00	3.133E-08
