 0.5 285.69679328328595 0.011522540326664742
 1.5 280.5623166633779 8.115498779134946E-3
 2.5 275.1881950354591 5.4885740634035215E-3
 3.5 269.6001470614112 3.526774032597926E-3
 4.5 263.7362208212178 2.1185949060308576E-3
 5.5 257.12783813903786 1.1606354598851442E-3
 6.5 249.52179745585934 5.56554784724729E-4
 7.5 241.12244173509415 2.3423940824490567E-4
 8.5 232.33028403754394 8.607835456779336E-5
 9.5 224.42752098622378 3.105349993917162E-5
 10.5 218.85908114779542 1.5270582140610088E-5
 11.5 215.88794870711964 1.0780125324527183E-5
 12.5 214.52878116754564 8.519025255746192E-6
 13.5 213.88347216965723 7.479938466574094E-6
 14.5 213.62587888457792 7.5210499063847495E-6
 15.5 213.59670328948263 7.573642210143872E-6
 16.5 213.7186713347368 7.657582200761437E-6
 17.5 213.9639863294388 7.748753045318337E-6
 18.5 214.32296574033074 7.83761120632146E-6
 19.5 214.81548147363858 7.94301976857511E-6
 20.5 215.47945534704203 8.0640508807627E-6
 21.5 216.37777620426945 8.190454980150488E-6
 22.5 217.55760457592742 8.312066928388283E-6
 23.5 219.03311927829938 8.440495977862415E-6
 24.5 220.77895370768882 8.570209124210147E-6
 25.5 222.73205109278944 8.686368642955434E-6
 26.5 224.7947564207419 8.806845512199971E-6
 27.5 226.80223012022185 8.940729119623875E-6
 28.5 228.69034727573495 9.079296644143385E-6
 29.5 230.47945903383225 9.205510439046405E-6
 30.5 232.21475974758024 9.323363424109134E-6
 31.5 233.97555101562525 9.467082812717042E-6
 32.5 235.86147453886712 9.594583509076024E-6
 33.5 237.832560130802 9.722356509974272E-6
 34.5 239.8781283171617 9.842574729893124E-6
 35.5 241.99342168100946 9.934661730303972E-6
 36.5 244.2155504377901 1.0038114257232145E-5
 37.5 246.5156319726764 1.013984158537344E-5
 38.5 248.89057417167987 1.0238315504317507E-5
 39.5 251.35533125546027 1.0352063859401157E-5
 40.5 253.8497432888083 1.0438853868987571E-5
 41.5 256.35136992260964 1.0499932591352549E-5
 42.5 258.6561754843641 1.0499172359902442E-5
 43.5 260.6453573357787 1.0535337674433291E-5
 44.5 262.38062250216626 1.0600469559510313E-5
 45.5 263.2767866214581 1.0663688450148478E-5
 46.5 263.8367057395141 1.0699999999999979E-5
 47.5 263.9446213432586 1.07E-5
 48.5 263.5745468653783 1.07E-5
 49.5 262.9728405802127 1.07E-5
 50.5 261.9116034546289 1.0699999999999979E-5
 51.5 260.45938286897114 1.0699999999999979E-5
 52.5 258.766932011006 1.07E-5
 53.5 256.55967456576104 1.07E-5
 54.5 254.17848035930788 1.07E-5
 55.5 251.549050033511 1.07E-5
 56.5 248.6212641752684 1.07E-5
 57.5 245.59609389836347 1.07E-5
 58.5 242.42530134998534 1.07E-5
 59.5 239.25089863353002 1.07E-5
 60.5 236.09187855936522 1.07E-5
 61.5 232.93790488631032 1.07E-5
 62.5 229.3989464135325 1.07E-5
 63.5 225.27546798202928 1.0699999999999979E-5
